date,open,high,low,close,volume,Name,Return,Price_Range,Daily_Change,Relative_Change
2017-07-14,80.9,81.22,80.6,80.73,837135,ED,0.4979459728619516,0.6200000000000045,-0.1700000000000017,-0.21013597033374748
2016-04-18,81.42,85.9,81.42,83.22,2495577,VRTX,1.7981651376146774,4.480000000000004,1.7999999999999972,2.2107590272660245
2017-09-05,107.82,108.115,107.11,107.42,814254,DGX,-0.6933530553757974,1.0049999999999955,-0.3999999999999915,-0.37098868484510433
2014-04-09,34.64,34.89,34.59,34.83,1720365,RSG,0.6938421509106529,0.29999999999999716,0.18999999999999773,0.5484988452655823
2017-06-08,57.68,57.83,57.17,57.2,3650840,GIS,-0.8665511265164645,0.6599999999999966,-0.4799999999999969,-0.832177531206652
2014-05-30,84.99,85.61,84.78,85.54,1449556,MCO,0.5288518039722679,0.8299999999999983,0.5500000000000114,0.6471349570537844
2016-06-07,101.78,102.3999,101.45,101.45,2539712,UTX,0.08879242304657006,0.9498999999999995,-0.3299999999999983,-0.32422872863037755
2016-10-28,75.62,75.68,73.86,74.53,5651541,LLY,-2.1402310924369687,1.8200000000000074,-1.0900000000000034,-1.4414176143877326
2017-12-01,35.55,35.5659,34.81,35.4,2805636,WY,0.05652911249292261,0.7558999999999969,-0.14999999999999858,-0.42194092827003826
2015-08-18,74.31,74.95,73.82,74.12,1655607,FL,0.1080497028633148,1.1300000000000097,-0.18999999999999773,-0.25568564123267085
2017-04-21,46.02,46.22,45.89,45.95,712406,L,-0.2388189318280491,0.3299999999999983,-0.07000000000000028,-0.1521077792264239
2014-01-29,168.83,169.52,167.275,168.14,243094,TDG,-1.227750690242615,2.2450000000000045,-0.6900000000000261,-0.40869513712019556
2016-01-08,39.68,39.94,38.99,39.07,3436008,TXT,-1.138663967611343,0.9499999999999957,-0.6099999999999994,-1.537298387096773
2015-10-29,107.12,107.32,105.54,106.46,1084851,SWK,-0.634683591562448,1.779999999999987,-0.6600000000000108,-0.6161314413741699
2017-03-22,157.13,157.77,156.1,157.55,1019448,PH,0.4142766093052936,1.670000000000016,0.4200000000000159,0.2672945968306599
2014-06-18,72.43,73.7,72.43,73.59,1770804,CCI,0.4504504504504481,1.269999999999996,1.1599999999999966,1.601546320585388
